old	newPackage	newName	newPath
oiii_0	clap.network	NetworkSupport_oiii_0	clap\network\NetworkSupport_oiii_0.java
oiii_1	clap.render	RenderSupport_oiii_1	clap\render\RenderSupport_oiii_1.java
oiii_2	clap.model	EnumType_oiii_2	clap\model\EnumType_oiii_2.java
oiii_3	clap.model	EnumType_oiii_3	clap\model\EnumType_oiii_3.java
oiii_4	clap.config	ConfigSupport_oiii_4	clap\config\ConfigSupport_oiii_4.java
oiii_5	clap.render	RenderSupport_oiii_5	clap\render\RenderSupport_oiii_5.java
oiii_6	clap.gui	GuiSupport_oiii_6	clap\gui\GuiSupport_oiii_6.java
OIIo$0i0	clap.api	ApiSupport_OIIo_0i0	clap\api\ApiSupport_OIIo_0i0.java
OIio$iOO	clap.api	ApiSupport_OIio_iOO	clap\api\ApiSupport_OIio_iOO.java
OIIO	clap.render	RenderSupport_OIIO	clap\render\RenderSupport_OIIO.java
oiio_0	clap.module.client	ClickGuiModule	clap\module\client\ClickGuiModule.java
oiio_1	clap.config	ConfigSupport_oiio_1	clap\config\ConfigSupport_oiio_1.java
oiio_2	clap.config	ConfigSupport_oiio_2	clap\config\ConfigSupport_oiio_2.java
oiio_3	clap.gui	GuiSupport_oiio_3	clap\gui\GuiSupport_oiio_3.java
oiio_4	clap.render	RenderSupport_oiio_4	clap\render\RenderSupport_oiio_4.java
oiio_5	clap.model	EnumType_oiio_5	clap\model\EnumType_oiio_5.java
oiio_6	clap.gui	GuiSupport_oiio_6	clap\gui\GuiSupport_oiio_6.java
oii_0	clap.config	ConfigSupport_oii_0	clap\config\ConfigSupport_oii_0.java
oii_1	clap.gui.screen	ClickGuiScreen	clap\gui\screen\ClickGuiScreen.java
oii_2	clap.network	NetworkSupport_oii_2	clap\network\NetworkSupport_oii_2.java
oii_3	clap.render	RenderSupport_oii_3	clap\render\RenderSupport_oii_3.java
oii_4	clap.render	RenderSupport_oii_4	clap\render\RenderSupport_oii_4.java
oii_5	clap.gui	GuiSupport_oii_5	clap\gui\GuiSupport_oii_5.java
oii_6	clap.nativeapi	DwmApi	clap\nativeapi\DwmApi.java
OiO$O0oO	clap.api	ApiSupport_OiO_O0oO	clap\api\ApiSupport_OiO_O0oO.java
OIO	clap.module.hud	KeystrokesHudElement	clap\module\hud\KeystrokesHudElement.java
Oio0$0oO0	clap.api	ApiSupport_Oio0_0oO0	clap\api\ApiSupport_Oio0_0oO0.java
Oio0$O0o	clap.api	ApiSupport_Oio0_O0o	clap\api\ApiSupport_Oio0_O0o.java
OIO0	clap.model	EnumType_OIO0	clap\model\EnumType_OIO0.java
oio0_0	clap.model	EnumType_oio0_0	clap\model\EnumType_oio0_0.java
oio0_1	clap.command.impl	PrefixCommand	clap\command\impl\PrefixCommand.java
oio0_2	clap.config	ConfigSupport_oio0_2	clap\config\ConfigSupport_oio0_2.java
OIoI$oII	clap.api	ApiSupport_OIoI_oII	clap\api\ApiSupport_OIoI_oII.java
